#   N_BLOCK:  ACCEPTANCE:
           1    0.186326
           2    0.186722
           3    0.187182
           4    0.187169
           5    0.187321
           6    0.187254
           7    0.187209
           8    0.187155
           9    0.187126
          10    0.187117
          11    0.187168
          12    0.187191
          13    0.187192
          14    0.187275
          15    0.187305
          16    0.187305
          17     0.18731
          18    0.187351
          19    0.187358
          20    0.187365
